Originator,OriginatorBucket
SPML,SPML
SPPL,SPML
A&L,SPML
NorthernRock,SPML
NROCK,KMC Legacy
Amber,KMC Legacy
AMBER,KMC Legacy
TML,KMC Legacy
KML,KMC Legacy
GMAC,KMC Legacy
MPL,KMC Legacy
NewStreetMortgages,KMC New Originations
Unity,KMC Legacy
Infinity,KMC Legacy
KPL,KMC Legacy
PML,PML
MPLC,KMC Legacy
LMC,SPML
WelcomeFinancialServicesLtd,Anacap
GEMoneyHomeLendingLimited,Lagonda
EDEUS,KMC Legacy
Preferred,KMC Legacy
GEMoneyMortgagesLimited,Lagonda
GEMoneyHomeFinanceLimited,Lagonda
OCWENLIMITED,Virage
igroup2limited,Virage
igroupMortgagesLimited,Virage
CITYMORTGAGECORPORATIONLIMITED,Virage
J&JSECURITIESLTD,Virage
FirstAlliance,Virage
HOMEFUNDINGCORPORATIONLTD,Virage
AintreeEquityFinanceLtd,Virage
GEMoneyMortgagesLtd.,Lagonda
igrouploanslimited,Virage
FirstNationalHomeFinanceLtd,Virage
GEMHL(Gemls),Lagonda
KensingtonMortgages,KMC New Originations
HML,KMC Legacy
DB,KMC Legacy
KEN,KMC Legacy
SPM,SPML
NRM,SPML
